activity,timeStamp,x,y,z,,,
Downstairs,1.58E+12,-0.29812163,0.055897523,-0.93163145,,0,
Downstairs,1.58E+12,-0.13729247,0.27948913,-0.93751526,37,37,
Downstairs,1.58E+12,-0.5070038,0.16181031,-0.9924332,26,63,
Downstairs,1.58E+12,-0.5619217,0.15592499,-1.0375443,17,80,
Downstairs,1.58E+12,-0.47856444,0.18240356,-0.9198639,21,101,
Downstairs,1.58E+12,-0.44129944,0.24908905,-0.8021835,38,139,
Downstairs,1.58E+12,-0.49915925,0.2569336,-0.86788785,8,147,
Downstairs,1.58E+12,-0.5442688,0.23634033,-0.99047244,32,179,
Downstairs,1.58E+12,-0.5021011,0.24908905,-0.868869,22,201,
Downstairs,1.58E+12,-0.4805252,0.3030258,-0.7668808,45,246,
Downstairs,1.58E+12,-0.5266174,0.29812163,-0.7374603,11,257,
Downstairs,1.58E+12,-0.53838503,0.36186522,-0.7845322,23,280,
Downstairs,1.58E+12,-0.5040619,0.3569626,-0.7766861,18,298,
Downstairs,1.58E+12,-0.53054047,0.32460022,-0.7472671,23,321,
Downstairs,1.58E+12,-0.52465516,0.29812163,-0.7060791,36,357,
Downstairs,1.58E+12,-0.48641053,0.35009766,-0.73255616,10,367,
Downstairs,1.58E+12,-0.4422806,0.415802,-0.6403748,30,397,
Downstairs,1.58E+12,-0.42953187,0.4579712,-0.6050705,19,416,
Downstairs,1.58E+12,-0.50602263,0.549173,-0.50112,21,437,
Downstairs,1.58E+12,-0.53054047,0.5972244,-0.25791472,39,476,
Downstairs,1.58E+12,-0.5707474,0.6639099,-0.24320526,23,499,
Downstairs,1.58E+12,-1.1189392,0.54230803,-0.41776276,38,537,
Downstairs,1.58E+12,-0.99537504,0.6295868,-0.31087035,18,555,
Downstairs,1.58E+12,-0.7766861,0.7472671,-0.1500412,23,578,
Downstairs,1.58E+12,-0.7678604,0.6442963,0.07551117,38,616,
Downstairs,1.58E+12,-0.86004335,0.7247116,-0.062762454,22,638,
Downstairs,1.58E+12,-0.6393936,0.82375795,-0.06766663,37,675,
Downstairs,1.58E+12,-0.5815338,0.84239197,-0.050013732,18,693,
Downstairs,1.58E+12,-0.5374039,0.87279207,-0.0578598,21,714,
Downstairs,1.58E+12,-0.53838503,0.8953476,-0.10885315,54,768,
Downstairs,1.58E+12,-0.4736618,0.9110382,-0.09316254,15,783,
Downstairs,1.58E+12,-0.43541566,0.9139801,-0.06178131,13,796,
Downstairs,1.58E+12,-0.49523622,0.9453613,0.099047855,18,814,
Downstairs,1.58E+12,-0.45012513,1.0081238,0.1892685,24,838,
Downstairs,1.58E+12,-0.48641053,1.0542145,0.23045655,37,875,
Downstairs,1.58E+12,-0.4922943,1.0453888,0.037265014,15,890,
Downstairs,1.58E+12,-0.40207213,0.9826263,0.051974487,23,913,
Downstairs,1.58E+12,-0.44718322,0.9022125,0.094143674,18,931,
Downstairs,1.58E+12,-0.42756957,0.8659271,0.090220645,39,970,
Downstairs,1.58E+12,-0.40207213,0.81983644,0.07747193,11,981,
Downstairs,1.58E+12,-0.43247375,0.8041458,0.17651978,31,1012,
Downstairs,1.58E+12,-0.45110625,0.8100296,0.16867371,19,1031,
Downstairs,1.58E+12,-0.44718322,0.8139526,0.18142243,40,1071,
Downstairs,1.58E+12,-0.43247375,0.8070877,0.19907531,19,1090,
Downstairs,1.58E+12,-0.42266694,0.80022275,0.21476594,39,1129,
Downstairs,1.58E+12,-0.43149263,0.79629976,0.23928222,12,1141,
Downstairs,1.58E+12,-0.44718322,0.7953186,0.22849426,10,1151,
Downstairs,1.58E+12,-0.44914398,0.8119904,0.20201722,21,1172,
Downstairs,1.58E+12,-0.37951812,0.8041458,0.28341216,39,1211,
Downstairs,1.58E+12,-0.42070466,0.7972809,0.3147934,19,1230,
Downstairs,1.58E+12,-0.45404816,0.81787413,0.28929597,17,1247,
Downstairs,1.58E+12,-0.49719697,0.87279207,0.26379853,23,1270,
Downstairs,1.58E+12,-0.49425507,0.9120178,0.27948913,40,1310,
Downstairs,1.58E+12,-0.4932739,0.9179031,0.34323272,5,1315,
Downstairs,1.58E+12,-0.49131316,0.9120178,0.38246003,32,1347,
Downstairs,1.58E+12,-0.5070038,0.9257477,0.39030457,11,1358,
Downstairs,1.58E+12,-0.49719697,0.98851013,0.40011138,30,1388,
Downstairs,1.58E+12,-0.44914398,1.0100845,0.4128601,20,1408,
Downstairs,1.58E+12,-0.4707199,1.0816742,0.09218292,39,1447,
Downstairs,1.58E+12,-0.4766037,1.1199188,-0.23830108,20,1467,
Downstairs,1.58E+12,-0.52759856,1.080693,-0.26183778,39,1506,
Downstairs,1.58E+12,-0.66194916,0.94438016,-0.10689239,8,1514,
Downstairs,1.58E+12,-0.57859194,0.8953476,-0.062762454,31,1545,
Downstairs,1.58E+12,-0.5334824,0.87279207,-0.16671295,12,1557,
Downstairs,1.58E+12,-0.5962448,0.8149322,0.0823761,31,1588,
Downstairs,1.58E+12,-0.5001389,0.84239197,0.25104982,18,1606,
Downstairs,1.58E+12,-0.40403444,0.8884827,0.051974487,39,1645,
Downstairs,1.58E+12,-0.48346862,0.82964325,0.078453064,19,1664,
Downstairs,1.58E+12,-0.50798494,0.76001585,0.08825989,21,1685,
Downstairs,1.58E+12,-0.5001389,0.7354981,0.16181031,19,1704,
Downstairs,1.58E+12,-0.4824875,0.7717835,0.19907531,41,1745,
Downstairs,1.58E+12,-0.6060516,0.6815628,0.21280365,18,1763,
Downstairs,1.58E+12,-0.62174225,0.61585695,0.19221039,40,1803,
Downstairs,1.58E+12,-0.5099457,0.58251494,0.13827363,13,1816,
Downstairs,1.58E+12,-0.38638154,0.56780547,0.19024964,27,1843,
Downstairs,1.58E+12,-0.37755585,0.51484984,0.21476594,16,1859,
Downstairs,1.58E+12,-0.43933868,0.49719697,0.20103607,22,1881,
Downstairs,1.58E+12,-0.6305679,0.6658722,0.36284637,12,1893,
