activity,timeStamp,x,y,z,,,
Walking,1.58E+12,-0.059820555,-0.22261047,-0.916922,,,
Walking,1.58E+12,-0.062762454,-0.20691986,-0.9080963,34,,
Walking,1.58E+12,-0.10100861,-0.19221039,-0.916922,10,,
Walking,1.58E+12,-0.19613342,-0.16082916,-0.82670134,30,,
Walking,1.58E+12,-0.1833847,-0.16278991,-0.82768095,19,,
Walking,1.58E+12,-0.17651978,-0.16671295,-0.91005707,21,,
Walking,1.58E+12,-0.15494537,-0.1647522,-0.99831694,39,,
Walking,1.58E+12,-0.25104982,-0.13827363,-0.916922,21,,
Walking,1.58E+12,-0.23634033,-0.14513855,-0.8982895,37,,
Walking,1.58E+12,-0.24516602,-0.15396424,-0.9963562,20,,
Walking,1.58E+12,-0.24908905,-0.16181031,-1.028717,21,,
Walking,1.58E+12,-0.17455903,-0.14415741,-0.93457335,20,,
Walking,1.58E+12,-0.10296936,-0.15984802,-0.79924166,38,,
Walking,1.58E+12,-0.16965485,-0.18240356,-0.73157656,21,,
Walking,1.58E+12,-0.23830108,-0.12552491,-0.705098,39,,
Walking,1.58E+12,-0.17750092,-0.0578598,-0.76589966,20,,
Walking,1.58E+12,-0.1284668,0.012748718,-0.7247116,21,,
Walking,1.58E+12,-0.26085663,0.055897523,-0.8551407,39,,
Walking,1.58E+12,-0.15592499,0.22163086,-0.92378694,19,,
Walking,1.58E+12,-0.8110107,0.08041382,-0.75315094,40,,
Walking,1.58E+12,-0.7511902,0.10493164,-0.77276456,19,,
Walking,1.58E+12,-0.7354981,0.16867371,-0.92770845,19,,
Walking,1.58E+12,-0.7776672,0.22457275,-1.116977,24,,
Walking,1.58E+12,-0.75903475,0.14808044,-0.9924332,38,,
Walking,1.58E+12,-0.72667235,0.15984802,-1.0532348,18,,
Walking,1.58E+12,-1.369989,-0.16181031,-0.9022125,40,,
Walking,1.58E+12,-1.0787323,-0.12552491,-0.5933029,20,,
Walking,1.58E+12,-0.8492554,-0.044129945,-0.5707474,41,,
Walking,1.58E+12,-0.71686554,0.004902649,-0.7845322,9,,
Walking,1.58E+12,-0.4805252,0.094143674,-0.78257143,30,,
Walking,1.58E+12,-0.43345338,0.105911255,-0.71588594,18,,
Walking,1.58E+12,-0.4579712,0.11081543,-0.70215607,20,,
Walking,1.58E+12,-0.6541031,0.06864624,-0.73157656,39,,
Walking,1.58E+12,-0.698233,0.09120178,-0.68940735,19,,
Walking,1.58E+12,-0.6031097,0.121601865,-0.7619766,21,,
Walking,1.58E+12,-0.5472107,0.100027464,-0.7119629,27,,
Walking,1.58E+12,-0.586438,0.08041382,-0.8443527,34,,
Walking,1.58E+12,-0.5707474,0.081394956,-0.8374878,21,,
Walking,1.58E+12,-0.6138962,0.03530426,-0.7001953,42,,
Walking,1.58E+12,-0.6364517,0.030400086,-0.68352354,15,,
Walking,1.58E+12,-0.6472397,0.045111082,-0.72863466,22,,
Walking,1.58E+12,-0.63252866,0.07649231,-0.7207886,39,,
Walking,1.58E+12,-0.62860566,0.1039505,-0.7413834,22,,
Walking,1.58E+12,-0.6335098,0.121601865,-0.7541321,37,,
Walking,1.58E+12,-0.6138962,0.13140869,-0.75609285,20,,
Walking,1.58E+12,-0.6452774,0.10100861,-0.78355104,13,,
Walking,1.58E+12,-0.57270813,0.13533172,-0.8217972,85,,
Walking,1.58E+12,-0.5472107,0.14611968,-0.83552706,10,,
Walking,1.58E+12,-0.586438,0.15200348,-0.7698227,29,,
Walking,1.58E+12,-0.54230803,0.17651978,-0.7541321,26,,
Walking,1.58E+12,-0.5226944,0.1892685,-0.7453049,15,,
Walking,1.58E+12,-0.56486356,0.19417115,-0.7953186,37,,
Walking,1.58E+12,-0.53838503,0.22457275,-0.7855133,20,,
Walking,1.58E+12,-0.4707199,0.2628189,-0.77570647,22,,
Walking,1.58E+12,-0.5256363,0.27654725,-0.7276535,37,,
Walking,1.58E+12,-0.6668518,0.26085663,-0.73942107,21,,
Walking,1.58E+12,-0.7207886,0.2628189,-0.64233553,23,,
Walking,1.58E+12,-1.1101135,0.11964111,-0.4922943,35,,
Walking,1.58E+12,-0.96693575,0.26085663,-0.61291504,20,,
Walking,1.58E+12,-0.83258516,0.33146515,-0.6442963,21,,
Walking,1.58E+12,-0.54819185,0.37363282,-0.3216583,41,,
Walking,1.58E+12,-0.34029084,0.42168579,-0.16965485,30,,
Walking,1.58E+12,-0.29420012,0.5599594,-0.23437957,20,,
Walking,1.58E+12,-1.1552231,0.44914398,-0.10787354,28,,
Walking,1.58E+12,-1.0218537,0.5462311,0.06766663,18,,
Walking,1.58E+12,-0.93163145,0.66194916,-0.08335724,20,,
Walking,1.58E+12,-0.7305954,0.69921416,-0.1039505,20,,
Walking,1.58E+12,-0.53838503,0.72667235,-0.2539917,23,,
Walking,1.58E+12,-0.6972534,0.68646544,-0.21672669,17,,
Walking,1.58E+12,-0.6737167,0.71588594,-0.1892685,21,,
Walking,1.58E+12,-0.67960054,0.7511902,-0.20888214,21,,
Walking,1.58E+12,-0.58545685,0.80610657,-0.14906159,36,,
Walking,1.58E+12,-0.5168106,0.83258516,-0.09708557,20,,
Walking,1.58E+12,-0.5070038,0.7453049,-0.08924103,40,,
Walking,1.58E+12,-0.47169954,0.69627225,-0.07453003,25,,
Walking,1.58E+12,-0.45895082,0.8933853,-0.081394956,33,,
Walking,1.58E+12,-0.58839875,1.0512726,-0.047071837,23,,
Walking,1.58E+12,-0.7031372,0.9787033,-0.06472321,38,,
Walking,1.58E+12,-0.58839875,1.0140076,-0.043148804,19,,
Walking,1.58E+12,-0.50896454,0.8188553,-0.051974487,19,,
Walking,1.58E+12,-0.5001389,0.8924057,-0.047071837,20,,
Walking,1.58E+12,-0.453067,0.91005707,0.006864929,21,,
Walking,1.58E+12,-0.4187439,0.8521973,0.037265014,38,,
Walking,1.58E+12,-0.3883438,0.8982895,0.052955627,21,,
Walking,1.58E+12,-0.35990447,0.9326126,0.02745819,19,,
Walking,1.58E+12,-0.32950288,0.9777237,0.004902649,41,,
Walking,1.58E+12,-0.33244476,0.97674257,0.005883789,21,,
Walking,1.58E+12,-0.3216583,0.9551681,0.003923035,17,,
Walking,1.58E+12,-0.31381226,0.94438016,0.002941895,20,,
Walking,1.58E+12,-0.33244476,0.7913971,0.015690614,40,,
Walking,1.58E+12,-0.3334259,0.8217972,0.023536682,19,,
Walking,1.58E+12,-0.31969756,0.6746979,0.003923035,20,,
Walking,1.58E+12,-0.26968232,0.76589966,0.023536682,40,,
Walking,1.58E+12,-0.30596772,0.86985016,0.032362364,19,,
Walking,1.58E+12,-0.26772156,0.88652194,0.032362364,21,,
Walking,1.58E+12,-0.2687027,0.90417325,-0.006864929,21,,
Walking,1.58E+12,-0.30989075,1.0591186,0.04020691,38,,
Walking,1.58E+12,-0.2853729,1.1326675,0.02745819,19,,
Walking,1.58E+12,-0.2853729,1.1218811,0.002941895,20,,
Walking,1.58E+12,-0.2814514,1.0610794,0.021574402,20,,
Walking,1.58E+12,-0.2265335,1.0228332,0.012748718,39,,
Walking,1.58E+12,-0.21770783,1.0365632,0.015690614,20,,
Walking,1.58E+12,-0.19711304,0.9777237,0.015690614,40,,
Walking,1.58E+12,-0.20201722,0.9532059,0.018632507,5,,
Walking,1.58E+12,-0.16181031,1.0532348,0.030400086,34,,
Walking,1.58E+12,-0.1500412,1.0346024,0.017651368,20,,
Walking,1.58E+12,-0.19809417,1.0522537,0.010787964,20,,
Walking,1.58E+12,-0.18730775,1.0846161,0.048052978,40,,
Walking,1.58E+12,-0.19613342,1.0983444,0.06766663,20,,
Walking,1.58E+12,-0.1833847,1.0650024,0.06178131,19,,
