activity,timeStamp,x,y,z,,,
Walking,1.58E+12,0.18436432,1.0679443,0.38246003,,0,0
Walking,1.58E+12,-0.043148804,1.2326965,0.33538818,33,33,0.033
Walking,1.58E+12,-0.09218292,0.72373044,0.004902649,28,61,0.061
Walking,1.58E+12,-0.008825684,0.6384125,-0.19122925,22,83,0.083
Walking,1.58E+12,-0.16278991,1.0787323,0.062762454,39,122,0.122
Walking,1.58E+12,-0.25987548,1.083635,0.017651368,20,142,0.142
Walking,1.58E+12,-0.22163086,0.9777237,-0.047071837,39,181,0.181
Walking,1.58E+12,-0.12356415,0.89142454,0.016671753,10,191,0.191
Walking,1.58E+12,0.013729858,0.88455963,0.019613648,29,220,0.22
Walking,1.58E+12,-0.001960754,0.90319216,-0.04020691,18,238,0.238
Walking,1.58E+12,-0.04216919,0.93359375,-0.05393677,23,261,0.261
Walking,1.58E+12,-0.07747193,0.94045717,-0.059820555,18,279,0.279
Walking,1.58E+12,-0.0578598,0.9512451,-0.04020691,19,298,0.298
Walking,1.58E+12,-0.062762454,0.9787033,-0.060801696,41,339,0.339
Walking,1.58E+12,-0.08531799,0.9924332,-0.039227296,11,350,0.35
Walking,1.58E+12,-0.14513855,0.9777237,0.015690614,28,378,0.378
Walking,1.58E+12,-0.13238983,0.987529,0.03432312,20,398,0.398
Walking,1.58E+12,-0.0460907,1.0267563,0.02942047,39,437,0.437
Walking,1.58E+12,-0.036283873,1.035582,0.060801696,19,456,0.456
Walking,1.58E+12,-0.08335724,1.0787323,0.11277618,21,477,0.477
Walking,1.58E+12,-0.17750092,1.1336486,0.121601865,21,498,0.498
Walking,1.58E+12,-0.42364654,1.1640488,0.059820555,38,536,0.536
Walking,1.58E+12,-0.46777648,1.2121017,-0.04216919,20,556,0.556
Walking,1.58E+12,-0.30008394,1.1532624,-0.21966858,40,596,0.596
Walking,1.58E+12,-0.16965485,1.1032486,-0.20594025,20,616,0.616
Walking,1.58E+12,0.14121552,1.2454453,-0.14219666,38,654,0.654
Walking,1.58E+12,0.20691986,1.2738845,-0.22261047,20,674,0.674
Walking,1.58E+12,0.24810791,1.2375991,-0.27948913,20,694,0.694
Walking,1.58E+12,0.23143768,1.2160248,-0.23634033,41,735,0.735
Walking,1.58E+12,0.084336855,1.1758178,-0.12748718,14,749,0.749
Walking,1.58E+12,-0.07551117,0.99537504,0.011767578,25,774,0.774
Walking,1.58E+12,-0.07355042,0.89730835,0.037265014,19,793,0.793
Walking,1.58E+12,-0.06962738,0.84239197,0.050013732,23,816,0.816
Walking,1.58E+12,0.017651368,0.69529116,0.050013732,35,851,0.851
Walking,1.58E+12,0.00784607,0.6452774,0.037265014,21,872,0.872
Walking,1.58E+12,-0.008825684,0.63547057,0.08041382,19,891,0.891
Walking,1.58E+12,-0.038246155,0.64920044,0.14023438,23,914,0.914
Walking,1.58E+12,-0.07256927,0.6854843,0.22555237,38,952,0.952
Walking,1.58E+12,-0.08924103,0.7217697,0.2902771,19,971,0.971
Walking,1.58E+12,-0.08531799,0.7580536,0.33734894,21,992,0.992
Walking,1.58E+12,-0.099047855,0.8463135,0.35598144,38,1030,1.03
Walking,1.58E+12,-0.12258301,0.97674257,0.3510788,20,1050,1.05
Walking,1.58E+12,-0.11669922,1.1503204,0.39520875,20,1070,1.07
Walking,1.58E+12,-0.05491791,1.2944778,0.4618927,20,1090,1.09
Walking,1.58E+12,0.090220645,1.2944778,0.48444825,42,1132,1.132
Walking,1.58E+12,0.24614716,1.2121017,0.5128876,16,1148,1.148
Walking,1.58E+12,0.25791472,1.1385529,0.40501404,23,1171,1.171
Walking,1.58E+12,0.3030258,1.3817565,-0.090220645,19,1190,1.19
Walking,1.58E+12,0.29910278,1.5798508,-0.59232175,20,1210,1.21
Walking,1.58E+12,0.051974487,1.3013427,-0.38736266,20,1230,1.23
Walking,1.58E+12,-0.14513855,1.0081238,0.052955627,25,1255,1.255
Walking,1.58E+12,-0.25203094,0.9992981,-0.2530121,38,1293,1.293
Walking,1.58E+12,-0.2471283,1.0914795,-0.29420012,19,1312,1.312
Walking,1.58E+12,0.04118805,0.9188827,0.10689239,36,1348,1.348
Walking,1.58E+12,0.06962738,0.868869,0.09120178,18,1366,1.366
Walking,1.58E+12,0.050994873,0.82081604,0.004902649,22,1388,1.388
Walking,1.58E+12,-0.03530426,0.76001585,0.044129945,42,1430,1.43
Walking,1.58E+12,-0.090220645,0.78649294,0.081394956,16,1446,1.446
Walking,1.58E+12,-0.06668548,0.7737442,0.07256927,39,1485,1.485
Walking,1.58E+12,-0.06374359,0.7845322,0.15984802,21,1506,1.506
Walking,1.58E+12,-0.09610443,0.7894348,0.18730775,21,1527,1.527
Walking,1.58E+12,-0.15984802,0.7845322,0.17750092,37,1564,1.564
Walking,1.58E+12,-0.090220645,0.72667235,0.12650605,9,1573,1.573
Walking,1.58E+12,-0.031381227,0.7776672,0.11179657,32,1605,1.605
Walking,1.58E+12,-0.11669922,0.906134,0.12258301,20,1625,1.625
Walking,1.58E+12,-0.18240356,1.0002778,0.17161712,38,1663,1.663
Walking,1.58E+12,-0.27556762,1.0375443,0.19221039,8,1671,1.671
Walking,1.58E+12,-0.43345338,1.0571563,0.11081543,31,1702,1.702
Walking,1.58E+12,-0.38049775,1.0757889,0.090220645,21,1723,1.723
Walking,1.58E+12,-0.21868896,1.0551956,0.15788727,22,1745,1.745
Walking,1.58E+12,-0.06766663,0.97183836,-0.001960754,38,1783,1.783
Walking,1.58E+12,-0.24222413,1.1924881,-0.24810791,24,1807,1.807
Walking,1.58E+12,-0.25203094,1.5043396,-0.50112,34,1841,1.841
Walking,1.58E+12,0.08825989,1.7740234,-0.38638154,18,1859,1.859
Walking,1.58E+12,0.54524994,1.7455841,-0.22261047,22,1881,1.881
Walking,1.58E+12,0.3608841,1.62202,-0.120622255,21,1902,1.902
Walking,1.58E+12,-0.003923035,1.114035,0.048052978,40,1942,1.942
Walking,1.58E+12,-0.06668548,0.8737732,0.04903259,20,1962,1.962
Walking,1.58E+12,-0.10689239,0.6501816,-0.015690614,37,1999,1.999
Walking,1.58E+12,-0.101989746,0.56388247,-0.059820555,10,2009,2.009
Walking,1.58E+12,-0.011767578,0.52759856,-0.12650605,32,2041,2.041
Walking,1.58E+12,0.05393677,0.51582944,-0.038246155,18,2059,2.059
Walking,1.58E+12,0.025497437,0.58741915,0.29420012,47,2106,2.106
Walking,1.58E+12,0.050013732,0.64920044,0.3569626,12,2118,2.118
Walking,1.58E+12,0.14906159,0.7737442,0.3569626,20,2138,2.138
Walking,1.58E+12,0.14808044,1.2287735,0.63252866,40,2178,2.178
Walking,1.58E+12,0.22555237,1.3140914,0.6452774,19,2197,2.197
Walking,1.58E+12,0.20005493,1.2572129,0.586438,21,2218,2.218
Walking,1.58E+12,0.10787354,1.1434555,0.549173,20,2238,2.238
Walking,1.58E+12,0.08629914,1.0826538,0.6776398,21,2259,2.259
Walking,1.58E+12,0.3383301,1.6377106,-0.63154906,39,2298,2.298
Walking,1.58E+12,0.28047028,1.5759293,-0.75903475,18,2316,2.316
Walking,1.58E+12,-0.028439332,1.0973648,-0.10885315,39,2355,2.355
Walking,1.58E+12,-0.13533172,0.8590622,0.21672669,11,2366,2.366
Walking,1.58E+12,-0.17946167,0.8982895,-0.09218292,11,2377,2.377
Walking,1.58E+12,-0.29517975,1.1483581,-0.25889587,39,2416,2.416
Walking,1.58E+12,-0.18730775,1.0296981,0.004902649,19,2435,2.435
Walking,1.58E+12,0.11571808,0.7541321,0.09120178,39,2474,2.474
Walking,1.58E+12,0.15984802,0.66194916,0.04118805,20,2494,2.494
Walking,1.58E+12,0.17848054,0.660968,-0.04216919,21,2515,2.515
Walking,1.58E+12,0.10885315,0.82964325,-0.07060852,39,2554,2.554
Walking,1.58E+12,0.047071837,0.8551407,-0.001960754,20,2574,2.574
Walking,1.58E+12,0.02745819,0.85415953,0.006864929,38,2612,2.612
Walking,1.58E+12,0.020593261,0.89927065,0.008825684,10,2622,2.622
Walking,1.58E+12,-0.047071837,0.99439394,0.078453064,30,2652,2.652
Walking,1.58E+12,-0.06962738,1.0532348,0.12454376,9,2661,2.661
Walking,1.58E+12,-0.08531799,1.0973648,0.12944794,31,2692,2.692
Walking,1.58E+12,-0.101989746,1.206218,0.20201722,8,2700,2.7
Walking,1.58E+12,-0.3726532,1.3091873,0.24614716,31,2731,2.731
Walking,1.58E+12,-0.38343963,1.280748,0.17357787,19,2750,2.75
Walking,1.58E+12,-0.28733522,1.1895462,0.018632507,21,2771,2.771
Walking,1.58E+12,-0.09218292,1.0434281,-0.11277618,39,2810,2.81
Walking,1.58E+12,-0.055897523,0.9483032,-0.11277618,9,2819,2.819
Walking,1.58E+12,-0.2726242,1.3052658,-0.23339844,31,2850,2.85
Walking,1.58E+12,-0.005883789,1.4602096,-0.40109253,20,2870,2.87
Walking,1.58E+12,0.2843933,1.3788147,-0.35500032,22,2892,2.892
Walking,1.58E+12,0.40403444,1.2248504,-0.22163086,38,2930,2.93
Walking,1.58E+12,0.26085663,1.1718948,-0.09806671,18,2948,2.948
Walking,1.58E+12,-0.009806824,0.92378694,0.014709473,44,2992,2.992
Walking,1.58E+12,-0.094143674,0.794339,0.02745819,16,3008,3.008
Walking,1.58E+12,-0.13729247,0.65606534,0.00098114,22,3030,
Walking,1.58E+12,-0.114738464,0.5687851,-0.047071837,21,3051,
Walking,1.58E+12,-0.023536682,0.51877135,0.036283873,38,3089,
Walking,1.58E+12,0.003923035,0.5844757,0.14219666,18,3107,
Walking,1.58E+12,0.031381227,0.68646544,0.28047028,20,3127,
Walking,1.58E+12,0.037265014,0.78257143,0.3883438,20,3147,
Walking,1.58E+12,0.099047855,0.879657,0.37461394,40,3187,
Walking,1.58E+12,0.0578598,0.9855682,0.35402068,19,3206,
Walking,1.58E+12,0.20691986,1.1866043,0.41187897,19,3225,
Walking,1.58E+12,0.33734894,1.2709427,0.48346862,40,3265,
Walking,1.58E+12,0.3491165,1.1493393,0.5432892,20,3285,
Walking,1.58E+12,0.39128572,1.1513001,0.58251494,22,3307,
Walking,1.58E+12,0.40795594,1.3680283,0.29125825,39,3346,
Walking,1.58E+12,0.4403183,1.5416062,-0.4246277,30,3376,
Walking,1.58E+12,-0.207901,1.0375443,-0.19613342,11,3387,
Walking,1.58E+12,-0.25497285,0.9934143,-0.12356415,18,3405,
Walking,1.58E+12,-0.025497437,1.083635,-0.34029084,40,3445,
Walking,1.58E+12,-0.001960754,1.00224,-0.10787354,18,3463,
Walking,1.58E+12,0.052955627,0.93163145,0.084336855,22,3485,
Walking,1.58E+12,0.1500412,0.73157656,-0.023536682,38,3523,
Walking,1.58E+12,0.0823761,0.67175597,-0.06374359,19,3542,
Walking,1.58E+12,0.019613648,0.70215607,-0.047071837,22,3564,
Walking,1.58E+12,-0.00098114,0.78060913,-0.037265014,37,3601,
Walking,1.58E+12,-0.001960754,0.8580826,0.011767578,8,3609,
Walking,1.58E+12,0.00098114,0.84042966,0.09708557,32,3641,
Walking,1.58E+12,-0.04020691,0.81787413,0.065704346,29,3670,
Walking,1.58E+12,-0.09316254,0.8561203,0.051974487,10,3680,
Walking,1.58E+12,-0.0794342,0.9492844,0.084336855,24,3704,
Walking,1.58E+12,-0.006864929,1.1434555,0.21280365,37,3741,
Walking,1.58E+12,-0.078453064,1.2003342,0.21574707,19,3760,
Walking,1.58E+12,-0.34421387,1.336647,0.1647522,39,3799,
Walking,1.58E+12,-0.31577453,1.3082078,0.059820555,20,3819,
Walking,1.58E+12,-0.071588136,1.0620606,-0.10787354,42,3861,
Walking,1.58E+12,-0.062762454,1.0816742,-0.02942047,17,3878,
Walking,1.58E+12,-0.15690613,1.2405411,-0.081394956,21,3899,
Walking,1.58E+12,0.207901,1.3788147,-0.31381226,40,3939,
Walking,1.58E+12,0.3216583,1.3013427,-0.2716446,19,3958,
Walking,1.58E+12,0.38736266,1.2483871,-0.17357787,39,3997,
Walking,1.58E+12,0.27948913,1.1856247,-0.09120178,4,4001,
Walking,1.58E+12,-0.006864929,0.88455963,0.100027464,37,4038,
Walking,1.58E+12,-0.078453064,0.757074,0.11964111,18,4056,
Walking,1.58E+12,-0.117680356,0.65214235,0.060801696,20,4076,
Walking,1.58E+12,-0.07355042,0.57270813,-0.04216919,41,4117,
Walking,1.58E+12,-0.012748718,0.5501526,-0.032362364,20,4137,
Walking,1.58E+12,0.017651368,0.56486356,0.045111082,20,4157,
Walking,1.58E+12,-0.023536682,0.7060791,0.293219,38,4195,
Walking,1.58E+12,0.00784607,0.76884156,0.3755951,20,4215,
Walking,1.58E+12,0.015690614,0.9992981,0.43835753,39,4254,
Walking,1.58E+12,0.10885315,1.1817017,0.453067,20,4274,
Walking,1.58E+12,0.30106354,1.3121293,0.39913025,20,4294,
Walking,1.58E+12,0.2687027,1.2748642,0.4059952,20,4314,
Walking,1.58E+12,0.17259674,1.1042283,0.4648346,21,4335,
Walking,1.58E+12,0.17651978,1.3033035,0.35598144,38,4373,
Walking,1.58E+12,0.5668243,1.673996,-0.82081604,19,4392,
Walking,1.58E+12,0.30792847,1.5631806,-0.77570647,21,4413,
Walking,1.58E+12,-0.114738464,1.1277649,-0.03334198,21,4434,
Walking,1.58E+12,-0.17946167,0.8492554,-0.13238983,38,4472,
Walking,1.58E+12,-0.1647522,1.0404861,-0.49621582,20,4492,
Walking,1.58E+12,0.11865997,1.0365632,0.084336855,39,4531,
Walking,1.58E+12,0.11081543,0.8806366,0.15592499,20,4551,
Walking,1.58E+12,0.13042907,0.709021,-0.005883789,19,4570,
Walking,1.58E+12,0.100027464,0.6413544,-0.10296936,41,4611,
Walking,1.58E+12,0.050013732,0.7609955,-0.07060852,20,4631,
Walking,1.58E+12,0.03530426,0.83258516,-0.004902649,39,4670,
Walking,1.58E+12,0.04020691,0.82964325,0.06178131,8,4678,
Walking,1.58E+12,-0.024516296,0.82670134,0.04020691,32,4710,
Walking,1.58E+12,-0.06178131,0.90711516,0.022555541,25,4735,
Walking,1.58E+12,-0.04020691,1.0316589,0.094143674,34,4769,
Walking,1.58E+12,0.03432312,1.0993255,0.15200348,14,4783,
Walking,1.58E+12,-0.12356415,1.2111206,0.21966858,28,4811,
Walking,1.58E+12,-0.33440703,1.3023239,0.19613342,17,4828,
Walking,1.58E+12,-0.37755585,1.3435104,0.16573182,20,4848,
Walking,1.58E+12,-0.28635406,1.3180145,0.039227296,19,4867,
Walking,1.58E+12,-0.15396424,1.2081788,-0.10983429,26,4893,
Walking,1.58E+12,-0.078453064,1.0669632,-0.101989746,36,4929,
Walking,1.58E+12,-0.020593261,1.2307342,-0.07649231,18,4947,
Walking,1.58E+12,0.08041382,1.4258865,-0.26477966,40,4987,
Walking,1.58E+12,0.25497285,1.4611908,-0.37461394,10,4997,
Walking,1.58E+12,0.3206772,1.3337052,-0.27752838,44,5041,
Walking,1.58E+12,0.2814514,1.2013153,-0.15592499,13,5054,
Walking,1.58E+12,0.02942047,1.0110657,0.001960754,13,5067,
Walking,1.58E+12,-0.052955627,0.875734,0.11179657,23,5090,
Walking,1.58E+12,-0.12258301,0.69234926,0.0460907,35,5125,
Walking,1.58E+12,-0.114738464,0.63547057,-0.022555541,20,5145,
Walking,1.58E+12,-0.015690614,0.5442688,-0.065704346,39,5184,
Walking,1.58E+12,0.013729858,0.5629013,-0.002941895,21,5205,
Walking,1.58E+12,0.021574402,0.62468415,0.13238983,39,5244,
Walking,1.58E+12,0.03334198,0.69234926,0.2657608,12,5256,
Walking,1.58E+12,0.11179657,0.8551407,0.29812163,27,5283,
Walking,1.58E+12,0.14415741,1.0385239,0.3520584,20,5303,
Walking,1.58E+12,0.26772156,1.2444642,0.4609131,40,5343,
Walking,1.58E+12,0.2324173,1.280748,0.43345338,8,5351,
Walking,1.58E+12,0.1833847,1.214064,0.38343963,32,5383,
Walking,1.58E+12,0.15396424,1.124823,0.41482085,12,5395,
Walking,1.58E+12,0.27850953,1.2346573,0.49131316,35,5430,
Walking,1.58E+12,0.48542938,1.5876968,0.056878664,15,5445,
Walking,1.58E+12,0.20691986,1.236618,-0.45993194,16,5461,
Walking,1.58E+12,-0.19221039,0.94045717,0.07551117,19,5480,
Walking,1.58E+12,-0.3206772,0.916922,-0.0578598,20,5500,
Walking,1.58E+12,-0.2814514,1.0189117,-0.4344345,41,5541,
Walking,1.58E+12,-0.14808044,1.1297257,-0.40305328,8,5549,
Walking,1.58E+12,-0.011767578,1.0591186,0.07355042,31,5580,
Walking,1.58E+12,0.12748718,0.916922,0.24516602,9,5589,
Walking,1.58E+12,0.21672669,0.60899353,-0.06668548,32,5621,
Walking,1.58E+12,0.12552491,0.5933029,-0.08629914,18,5639,
Walking,1.58E+12,-0.012748718,0.8345459,0.008825684,41,5680,
Walking,1.58E+12,-0.014709473,0.9012314,0.06766663,19,5699,
Walking,1.58E+12,-0.003923035,0.8933853,0.13925476,20,5719,
Walking,1.58E+12,-0.039227296,0.879657,0.101989746,40,5759,
Walking,1.58E+12,-0.07256927,0.93947756,0.1039505,20,5779,
Walking,1.58E+12,0.04118805,1.0757889,0.11081543,39,5818,
Walking,1.58E+12,0.028439332,1.1709137,0.16573182,19,5837,
Walking,1.58E+12,-0.10885315,1.2415222,0.1892685,21,5858,
Walking,1.58E+12,-0.29616088,1.2876129,0.17651978,39,5897,
Walking,1.58E+12,-0.30008394,1.3131104,0.15788727,7,5904,
Walking,1.58E+12,-0.101989746,1.1297257,-0.078453064,32,5936,
Walking,1.58E+12,-0.02745819,0.97674257,-0.10983429,19,5955,
Walking,1.58E+12,-0.0460907,1.0228332,-0.026478577,22,5977,
Walking,1.58E+12,0.012748718,1.488649,-0.37363282,39,6016,
Walking,1.58E+12,0.31283265,1.499437,-0.3422516,18,6034,
Walking,1.58E+12,0.4128601,1.258194,-0.10983429,41,6075,
Walking,1.58E+12,0.24418488,1.1601273,-0.056878664,20,6095,
Walking,1.58E+12,0.017651368,1.00224,-0.018632507,18,6113,
Walking,1.58E+12,-0.117680356,0.8531784,0.087278746,40,6153,
Walking,1.58E+12,-0.15494537,0.67960054,0.060801696,12,6165,
Walking,1.58E+12,-0.13533172,0.55211484,0.002941895,14,6179,
Walking,1.58E+12,-0.08531799,0.5099457,-0.00784607,14,6193,
Walking,1.58E+12,-0.026478577,0.52465516,-0.010787964,20,6213,
Walking,1.58E+12,0.00784607,0.55211484,0.00098114,26,6239,
Walking,1.58E+12,0.06962738,0.68940735,0.20986176,34,6273,
Walking,1.58E+12,0.09512482,0.7972809,0.36284637,20,6293,
Walking,1.58E+12,0.14611968,0.9090759,0.4246277,25,6318,
Walking,1.58E+12,0.18142243,1.1336486,0.46385497,34,6352,
Walking,1.58E+12,0.2628189,1.2307342,0.40893707,19,6371,
Walking,1.58E+12,0.17946167,1.2091599,0.38736266,20,6391,
Walking,1.58E+12,0.19221039,1.0208725,0.5462311,39,6430,
Walking,1.58E+12,0.17750092,1.1101135,0.51877135,20,6450,
Walking,1.58E+12,0.5472107,1.6435944,-0.912999,41,6491,
Walking,1.58E+12,0.16573182,1.3729309,-0.39324647,18,6509,
Walking,1.58E+12,-0.18044281,0.8816177,0.1529831,40,6549,
Walking,1.58E+12,-0.29125825,0.9159409,-0.38638154,20,6569,
Walking,1.58E+12,-0.2745865,1.0600983,-0.47856444,20,6589,
Walking,1.58E+12,-0.06374359,1.0444076,0.00784607,21,6610,
Walking,1.58E+12,0.17553863,0.78355104,0.15200348,38,6648,
Walking,1.58E+12,0.17946167,0.6472397,-0.038246155,20,6668,
Walking,1.58E+12,0.15984802,0.6040894,-0.10100861,20,6688,
Walking,1.58E+12,0.10296936,0.79629976,-0.062762454,39,6727,
Walking,1.58E+12,0.09610443,0.8453339,0.024516296,26,6753,
Walking,1.58E+12,0.037265014,0.8453339,0.050013732,35,6788,
Walking,1.58E+12,-0.002941895,0.94045717,0.0460907,20,6808,
Walking,1.58E+12,0.003923035,1.1110932,0.101989746,42,6850,
Walking,1.58E+12,0.014709473,1.202295,0.16769409,15,6865,
Walking,1.58E+12,-0.13631287,1.2817291,0.21966858,47,6912,
Walking,1.58E+12,-0.31577453,1.3405685,0.21770783,9,6921,
Walking,1.58E+12,-0.35500032,1.3513565,0.1863266,27,6948,
Walking,1.58E+12,-0.30498657,1.3033035,0.014709473,5,6953,
Walking,1.58E+12,-0.13729247,1.0051819,-0.20495911,33,6986,
Walking,1.58E+12,-0.07453003,1.1316879,-0.03334198,18,7004,
Walking,1.58E+12,-0.065704346,1.3611634,-0.17848054,36,7040,
Walking,1.58E+12,0.3706909,1.4043121,-0.39030457,25,7065,
Walking,1.58E+12,0.4069763,1.2719223,-0.3118515,19,7084,
Walking,1.58E+12,0.19122925,1.0767701,-0.09610443,42,7126,
