activity,timeStamp,x,y,z
Standing,1.576663034126e+12,-0.19907531,-0.7247116,-0.5844757
Standing,1.576663034491e+12,-0.19515228,-0.7217697,-0.58251494
Standing,1.576663034735e+12,-0.20103607,-0.72373044,-0.58839875
Standing,1.57666303474e+12,-0.19907531,-0.72569275,-0.586438
Standing,1.576663034968e+12,-0.19417115,-0.71980745,-0.586438
Standing,1.576663035399e+12,-0.19221039,-0.7207886,-0.5844757
Standing,1.576663035492e+12,-0.16965485,-0.7070602,-0.62860566
Standing,1.576663035914e+12,-0.16573182,-0.705098,-0.60899353
Standing,1.57666303592e+12,-0.16671295,-0.7080399,-0.60899353
Standing,1.576663035935e+12,-0.16965485,-0.7119629,-0.61291504
Standing,1.576663036058e+12,-0.16965485,-0.7100021,-0.61291504
Standing,1.576663036139e+12,-0.17063598,-0.7100021,-0.6138962
Standing,1.57666303623e+12,-0.17946167,-0.71588594,-0.6070312
Standing,1.576663036804e+12,-0.16769409,-0.71294403,-0.61487734
Standing,1.576663037153e+12,-0.1647522,-0.7109817,-0.6050705
Standing,1.576663037278e+12,-0.16867371,-0.71294403,-0.6138962
Standing,1.576663037337e+12,-0.16769409,-0.7100021,-0.6138962
Standing,1.576663037836e+12,-0.18240356,-0.7149048,-0.6031097
Standing,1.576663037879e+12,-0.17750092,-0.71980745,-0.6109543
Standing,1.576663038081e+12,-0.18044281,-0.71882784,-0.6031097
Standing,1.576663038119e+12,-0.18240356,-0.71588594,-0.6031097
Standing,1.576663038317e+12,-0.17553863,-0.71980745,-0.6011475
Standing,1.576663038533e+12,-0.17651978,-0.71980745,-0.59820557
Standing,1.576663038688e+12,-0.17553863,-0.7178467,-0.5991867
Standing,1.576663038695e+12,-0.17651978,-0.7178467,-0.6031097
Standing,1.576663038784e+12,-0.17455903,-0.71882784,-0.59820557
Standing,1.576663038901e+12,-0.18142243,-0.7149048,-0.5962448
Standing,1.576663039116e+12,-0.17750092,-0.7178467,-0.58839875
Standing,1.576663039129e+12,-0.17651978,-0.7178467,-0.5933029
Standing,1.576663034262e+12,-0.19809417,-0.7305954,-0.57859194
Standing,1.576663034631e+12,-0.20103607,-0.72373044,-0.586438
Standing,1.576663034637e+12,-0.19809417,-0.7217697,-0.58545685
Standing,1.576663034888e+12,-0.19809417,-0.72667235,-0.590361
Standing,1.576663035062e+12,-0.19809417,-0.71882784,-0.5893799
Standing,1.576663035393e+12,-0.19711304,-0.7247116,-0.57859194
Standing,1.576663035591e+12,-0.15690613,-0.7001953,-0.6295868
Standing,1.576663035649e+12,-0.16278991,-0.7041168,-0.6305679
Standing,1.576663035742e+12,-0.16573182,-0.7060791,-0.6207611
Standing,1.576663036051e+12,-0.16965485,-0.7109817,-0.6178192
Standing,1.576663036065e+12,-0.1647522,-0.71294403,-0.6138962
Standing,1.576663036199e+12,-0.17651978,-0.71392363,-0.60899353
Standing,1.576663036305e+12,-0.17161712,-0.7109817,-0.6021286
Standing,1.576663036327e+12,-0.17161712,-0.7119629,-0.5942825
Standing,1.576663036361e+12,-0.16769409,-0.7149048,-0.60997313
Standing,1.576663036598e+12,-0.17259674,-0.7149048,-0.6021286
Standing,1.576663036604e+12,-0.17063598,-0.71686554,-0.6001663
Standing,1.576663036856e+12,-0.16965485,-0.7119629,-0.6168381
Standing,1.576663036862e+12,-0.16867371,-0.709021,-0.6080124
Standing,1.576663036903e+12,-0.16769409,-0.7119629,-0.60899353
Standing,1.576663037044e+12,-0.17161712,-0.7080399,-0.60899353
Standing,1.576663037127e+12,-0.17161712,-0.7100021,-0.61487734
Standing,1.576663037426e+12,-0.16671295,-0.71294403,-0.60997313
Standing,1.576663037431e+12,-0.16671295,-0.7100021,-0.60899353
Standing,1.576663037611e+12,-0.17553863,-0.71392363,-0.59526366
Standing,1.576663037708e+12,-0.17946167,-0.7178467,-0.5893799
Standing,1.576663038087e+12,-0.17946167,-0.71686554,-0.5991867
Standing,1.576663038798e+12,-0.17946167,-0.71686554,-0.5991867
Standing,1.576663038893e+12,-0.17750092,-0.71686554,-0.59134066
Standing,1.576663038907e+12,-0.18240356,-0.7149048,-0.6001663
Standing,1.576663039252e+12,-0.17848054,-0.7178467,-0.5972244
Standing,1.576663039312e+12,-0.18044281,-0.71588594,-0.5962448
Standing,1.576663034069e+12,-0.19417115,-0.72275084,-0.58545685
Standing,1.576663034255e+12,-0.19907531,-0.72569275,-0.5815338
Standing,1.576663034346e+12,-0.20103607,-0.72569275,-0.58839875
Standing,1.576663034588e+12,-0.19809417,-0.72569275,-0.59134066
Standing,1.576663034947e+12,-0.19613342,-0.72373044,-0.5962448
Standing,1.57666303505e+12,-0.19907531,-0.7178467,-0.586438
Standing,1.576663035357e+12,-0.19711304,-0.7217697,-0.59134066
Standing,1.576663035467e+12,-0.18142243,-0.71588594,-0.60899353
