activity,timeStamp,x,y,z
Standing,1.576590124156e+12,-0.022555541,-0.868869,-0.38638154
Standing,1.576590124194e+12,-0.021574402,-0.8708313,-0.38638154
Standing,1.576590124623e+12,-0.022555541,-0.86788785,-0.38638154
Standing,1.576590124701e+12,-0.026478577,-0.86985016,-0.3893234
Standing,1.576590124865e+12,-0.023536682,-0.8708313,-0.39226532
Standing,1.576590125037e+12,-0.026478577,-0.86788785,-0.38343963
Standing,1.576590125644e+12,-0.023536682,-0.8737732,-0.38343963
Standing,1.576590125866e+12,-0.02745819,-0.8708313,-0.3755951
Standing,1.576590129173e+12,-0.024516296,-0.8786758,-0.3755951
Standing,1.576590129181e+12,-0.025497437,-0.88455963,-0.3491165
Standing,1.57659012919e+12,-0.02942047,-0.88652194,-0.35009766
Standing,1.576590129194e+12,-0.028439332,-0.88750154,-0.34813538
Standing,1.576590129199e+12,-0.030400086,-0.88652194,-0.34715575
Standing,1.576590129349e+12,-0.028439332,-0.88455963,-0.34323272
Standing,1.576590129621e+12,-0.02745819,-0.8884827,-0.34127197
Standing,1.576590129748e+12,-0.030400086,-0.8884827,-0.34519348
Standing,1.576590129798e+12,-0.02942047,-0.88455963,-0.35500032
Standing,1.576590129839e+12,-0.031381227,-0.8855408,-0.34519348
Standing,1.576590129939e+12,-0.030400086,-0.88652194,-0.3520584
Standing,1.576590130269e+12,-0.025497437,-0.88652194,-0.3706909
Standing,1.576590130359e+12,-0.030400086,-0.8816177,-0.34813538
Standing,1.576590130381e+12,-0.025497437,-0.8806366,-0.34715575
Standing,1.576590130583e+12,-0.045111082,-0.8776947,-0.38147888
Standing,1.576590130713e+12,-0.015690614,-0.8924057,-0.28733522
Standing,1.576590130727e+12,-0.017651368,-0.8982895,-0.33440703
Standing,1.576590130864e+12,-0.020593261,-0.89044344,-0.3363678
Standing,1.5765901311e+12,-0.017651368,-0.8894638,-0.33734894
Standing,1.576590131187e+12,-0.014709473,-0.8933853,-0.3393097
Standing,1.576590133923e+12,-0.014709473,-0.88652194,-0.33538818
Standing,1.576590134206e+12,-0.014709473,-0.8894638,-0.33538818
Standing,1.576590134268e+12,-0.0009811402,-0.88750154,-0.3393097
Standing,1.576590134297e+12,-0.019613648,-0.89436644,-0.31969756
Standing,1.576590134636e+12,-0.019613648,-0.89436644,-0.330484
Standing,1.576590134682e+12,-0.019613648,-0.8953476,-0.33146515
Standing,1.576590134784e+12,-0.021574402,-0.8924057,-0.32558137
Standing,1.576590134855e+12,-0.018632507,-0.8963272,-0.32852325
Standing,1.57659013552e+12,-0.022555541,-0.8933853,-0.32558137
Standing,1.576590135762e+12,-0.016671753,-0.8933853,-0.32361907
Standing,1.576590135823e+12,-0.015690614,-0.8924057,-0.32263947
