activity,timeStamp,x,y,z,,,
Standing,1.58E+12,0.011767578,0.031381227,-0.99047244,,,
Standing,1.58E+12,0.011767578,0.031381227,-0.99047244,15,,
Standing,1.58E+12,0.013729858,0.031381227,-0.98066556,10,,
Standing,1.58E+12,0.013729858,0.031381227,-0.98066556,8,,
Standing,1.58E+12,0.009806824,0.032362364,-0.9855682,30,,
Standing,1.58E+12,0.009806824,0.032362364,-0.9855682,8,,
Standing,1.58E+12,0.008825684,0.03530426,-0.987529,13,,
Standing,1.58E+12,0.008825684,0.03530426,-0.987529,8,,
Standing,1.58E+12,0.010787964,0.031381227,-0.9836075,7,,
Standing,1.58E+12,0.010787964,0.031381227,-0.9836075,4,,
Standing,1.58E+12,0.011767578,0.03334198,-0.9865494,16,,
Standing,1.58E+12,0.011767578,0.03334198,-0.9865494,6,,
Standing,1.58E+12,0.010787964,0.02942047,-0.9836075,15,,
Standing,1.58E+12,0.010787964,0.02942047,-0.9836075,12,,
Standing,1.58E+12,0.010787964,0.031381227,-0.987529,26,,
Standing,1.58E+12,0.010787964,0.031381227,-0.987529,8,,
Standing,1.58E+12,0.014709473,0.031381227,-0.9855682,12,,
Standing,1.58E+12,0.014709473,0.031381227,-0.9855682,8,,
Standing,1.58E+12,0.014709473,0.02942047,-0.9855682,31,,
Standing,1.58E+12,0.014709473,0.02942047,-0.9855682,10,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9826263,13,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9826263,8,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9816452,9,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9816452,7,,
Standing,1.58E+12,0.009806824,0.030400086,-0.9845871,14,,
Standing,1.58E+12,0.009806824,0.030400086,-0.9845871,4,,
Standing,1.58E+12,0.011767578,0.030400086,-0.9836075,37,,
Standing,1.58E+12,0.011767578,0.030400086,-0.9836075,5,,
Standing,1.58E+12,0.011767578,0.030400086,-0.987529,12,,
Standing,1.58E+12,0.011767578,0.030400086,-0.987529,5,,
Standing,1.58E+12,0.011767578,0.030400086,-0.9845871,36,,
Standing,1.58E+12,0.011767578,0.030400086,-0.9845871,10,,
