activity,timeStamp,x,y,x
Downstairs,1.576561461904e+12,-0.4805252,0.3030258,-0.4805252
Downstairs,1.576561461915e+12,-0.5266174,0.29812163,-0.5266174
Downstairs,1.576561462134e+12,-0.53054047,0.5972244,-0.53054047
Downstairs,1.576561462236e+12,-0.7766861,0.7472671,-0.7766861
Downstairs,1.576561462274e+12,-0.7678604,0.6442963,-0.7678604
Downstairs,1.576561462296e+12,-0.86004335,0.7247116,-0.86004335
Downstairs,1.576561462426e+12,-0.53838503,0.8953476,-0.53838503
Downstairs,1.576561462628e+12,-0.42756957,0.8659271,-0.42756957
Downstairs,1.576561462799e+12,-0.43149263,0.79629976,-0.43149263
Downstairs,1.576561463046e+12,-0.49719697,0.98851013,-0.49719697
Downstairs,1.576561463172e+12,-0.66194916,0.94438016,-0.66194916
Downstairs,1.576561463203e+12,-0.57859194,0.8953476,-0.57859194
Downstairs,1.576561463264e+12,-0.5001389,0.84239197,-0.5001389
Downstairs,1.576561463322e+12,-0.48346862,0.82964325,-0.48346862
Downstairs,1.576561463698e+12,-0.73942107,0.7276535,-0.73942107
Downstairs,1.576561463758e+12,-0.1892685,1.2797683,-0.1892685
Downstairs,1.576561464e+12,-0.40991822,0.46287385,-0.40991822
Downstairs,1.576561464093e+12,-0.415802,0.52465516,-0.415802
Downstairs,1.576561464212e+12,-0.8110107,0.92378694,-0.8110107
Downstairs,1.576561464453e+12,-0.5442688,0.43345338,-0.5442688
Downstairs,1.576561464827e+12,-0.66881406,1.0179306,-0.66881406
Downstairs,1.576561465005e+12,-0.36480713,0.5589798,-0.36480713
Downstairs,1.576561465043e+12,-0.35892335,0.52759856,-0.35892335
Downstairs,1.57656146534e+12,-0.92378694,0.86396635,-0.92378694
Downstairs,1.576561465705e+12,-0.330484,1.1846435,-0.330484
Downstairs,1.57656146577e+12,-0.5972244,1.7191055,-0.5972244
Downstairs,1.576561465855e+12,-0.41678315,0.9159409,-0.41678315
Downstairs,1.576561465994e+12,-0.1892685,0.6001663,-0.1892685
Downstairs,1.576561466132e+12,-0.47562256,1.3513565,-0.47562256
Downstairs,1.576561466231e+12,-0.28243104,1.5023788,-0.28243104
Downstairs,1.576561466254e+12,-0.453067,1.4258865,-0.453067
Downstairs,1.57656146641e+12,-0.20495911,0.6335098,-0.20495911
Downstairs,1.576561466605e+12,0.13337097,1.5818131,0.13337097
Downstairs,1.576561466627e+12,0.09512482,1.4229447,0.09512482
Downstairs,1.576561466731e+12,-0.009806824,0.798262,-0.009806824
Downstairs,1.576561466708e+12,-0.03530426,0.86396635,-0.03530426
